Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
Boston Red Sox,121366,30342,29.6,31.6,100,100,0,0,6,$176220000,2:59,0,,,Cora
Houston Astros,194111,38822,28.5,28.7,102,100,0,0,6,$180918333,2:59,2,0,0%,Baker
St. Louis Cardinals,175324,43831,27.4,28.3,100,100,0,0,5,$175904166,2:51,0,,,Marmol
Chicago White Sox,34784,34784,28.2,29.8,100,100,0,0,6,$153166666,2:50,4,1,25%,Grifol
Philadelphia Phillies,,,28.6,29.7,100,100,0,0,10,$232452856,2:50,0,,,Thomson
Baltimore Orioles,,,26.9,28.7,100,100,0,0,3,$56275000,2:49,1,0,0%,Hyde
Toronto Blue Jays,,,28.7,30.2,100,100,0,0,13,$202185119,2:49,2,2,100%,Schneider
Cleveland Guardians,,,27.2,26.8,100,100,0,0,6,$78081429,2:44,1,1,100%,Francona
Texas Rangers,111993,27998,29.1,31.0,100,100,0,0,7,$193232500,2:44,0,,,Bochy
New York Yankees,167069,41767,30.0,28.5,100,100,0,0,10,$264701547,2:43,1,0,0%,Boone
San Francisco Giants,,,29.9,31.1,100,100,0,0,5,$150110000,2:42,1,1,100%,Kapler
Oakland Athletics,60235,15059,28.6,28.4,100,100,0,0,3,$37425000,2:41,1,0,0%,Kotsay
Pittsburgh Pirates,,,28.5,29.8,100,100,0,0,4,$61112500,2:40,0,,,Shelton
Atlanta Braves,,,28.0,30.9,100,100,0,0,10,$173217500,2:38,0,,,Snitker
Detroit Tigers,,,27.6,28.8,100,100,0,0,4,$106042500,2:38,1,1,100%,Hinch
Seattle Mariners,173956,34791,28.4,28.4,96,96,0,0,8,$109601548,2:38,0,,,Servais
Milwaukee Brewers,42017,42017,27.2,28.2,102,102,0,0,7,$110944960,2:37,0,,,Counsell
Chicago Cubs,100683,33561,29.2,30.5,101,101,0,0,8,$153515000,2:36,1,1,100%,Ross
New York Mets,,,31.2,31.9,100,100,0,0,9,$307851666,2:36,3,0,0%,Showalter
Colorado Rockies,,,29.8,29.3,100,100,0,0,6,$139070000,2:35,2,1,50%,Black
Miami Marlins,79211,15842,30.0,28.5,100,101,0,0,10,$89350000,2:35,0,,,Schumaker
Cincinnati Reds,92649,23162,27.6,27.9,100,100,0,0,1,$73110215,2:34,2,0,0%,Bell
Los Angeles Angels,,,29.1,28.8,100,100,0,0,6,$216288095,2:34,1,0,0%,Nevin
Los Angeles Dodgers,242691,48538,30.9,28.1,106,104,0,0,9,$194591667,2:34,0,,,Roberts
Washington Nationals,95479,23870,27.1,28.7,100,100,0,0,2,$90711667,2:33,0,,,Martinez
Kansas City Royals,80383,20096,27.0,30.2,100,100,0,0,4,$79875000,2:31,1,1,100%,Quatraro
San Diego Padres,212517,42503,29.2,30.1,93,93,0,0,10,$227464739,2:31,0,,,Melvin
Arizona Diamondbacks,,,27.8,29.9,100,100,0,0,3,$109013571,2:30,5,3,60%,Lovullo
Minnesota Twins,,,28.8,28.9,100,100,0,0,5,$128701190,2:29,0,,,Baldelli
Tampa Bay Rays,64654,21551,26.9,28.4,100,100,0,0,2,$69151212,2:24,0,,,Cash
